Scheda,Scheda#,Amministrazione,URLdataset,URLsezione,Formato File
AttiConcessioneComo,AttiConcessioneComo,Como,http://trasparenza.comune.como.it/index.php/lista2/generacsv/anno/2014,http://www.comune.como.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione/,Csv
AttiConcessioneCosenza,AttiConcessioneCosenza,Cosenza,http://cosenza.etrasparenza.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=75,http://cosenza.etrasparenza.it/pagina48_atti-di-concessione.html,Csv
AttiConcessioneCremona,AttiConcessioneCremona,Cremona,https://sportelloweb.comune.cremona.it/online/viewProcess.do?d-7014159-e=5&6578706f7274=1&processName=it.people.fsl.servizi.trasparenza.esterni.online,https://sportelloweb.comune.cremona.it/online/initProcess.do?processName=it.people.fsl.servizi.trasparenza.esterni.online,Pdf vettoriale
AttiConcessioneCuneo,AttiConcessioneCuneo,Cuneo,http://www.comune.cuneo.gov.it/benefici/csv.php,http://www.comune.cuneo.gov.it/benefici/,Csv
AttiConcessioneEnna,AttiConcessioneEnna,Enna,http://www.lacomunitainrete.it/Servizi/Documenti-Determinazioni-di-Liquidazione.aspx,http://www.comune.enna.it/index.php/sovvenzioni-contributi-sussidi-vantaggi-economici-3/itemlist/category/280-atti-di-concessione,Html tabellare
AttiConcessioneFermo,AttiConcessioneFermo,Fermo,http://www.comune.fermo.it/it/6507/,http://www.comune.fermo.it/it/atti-di-concessione/b1934dir/6409/,Xls
AttiConcessioneFerrara,AttiConcessioneFerrara,Ferrara,https://docs.google.com/a/comune.fe.it/spreadsheet/ccc?key=0Am8OVbj8EI5UdHhJVnNQUzVkU3hJaWxqVkVFb3l5aEE&output=csv,http://www.comune.fe.it/index.phtml?id=3351,Csv
AttiConcessioneFirenze,AttiConcessioneFirenze,Firenze,http://www.comune.fi.it/materiali/trasparenza/DirezioneIstruzione_2014.pdf,http://www.comune.fi.it/export/sites/retecivica/comune_firenze/Amministrazione_Trasparente/Sovvenzioni_contributi.html#contributi,Pdf vettoriale
AttiConcessioneFoggia,AttiConcessioneFoggia,Foggia,http://www.comune.foggia.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi/atti-di-concessione/,http://www.comune.foggia.it/sovvenzioni-contributi-sussidi/atti-di-concessione/,Html
AttiConcessioneForlì,AttiConcessioneForlì,Forlì,http://www.comune.forli.fc.it/servizi/gestionedocumentale/visualizzadocumento.aspx?ID=36158,http://www.comune.forli.fc.it/servizi/menu/dinamica.aspx?idArea=166672&idCat=166726&ID=166774,Ods
AttiConcessioneGenova,AttiConcessioneGenova,Genova,http://pve.comune.genova.it/pve/ExportCSV.aspx,http://pve.comune.genova.it/pve/informazioni.aspx,Csv
AttiConcessioneGorizia,AttiConcessioneGorizia,Gorizia,http://www3.comune.gorizia.it/sites/default/files/file/trasparenza/30092014.pdf,http://www3.comune.gorizia.it/it/atti-di-concessione,Pdf vettoriale
AttiConcessioneGrosseto,AttiConcessioneGrosseto,Grosseto,http://www.comune.grosseto.it/contributi/viste/esporta_csv.php,http://www.comune.grosseto.it/contributi/viste/webListaSoggetti.php,Csv
AttiConcessioneImperia,AttiConcessioneImperia,Imperia,http://www.comune.imperia.it/im/default/files/csv/soggettibeneficiari.csv,http://www.comune.imperia.it/im/soggetti-beneficiari,Csv
AttiConcessioneIsernia,AttiConcessioneIsernia,Isernia,http://egov.hseweb.it/isernia/zf/index.php/trasparenza/index/index/categoria/63,http://egov.hseweb.it/isernia/zf/index.php/trasparenza/index/index/categoria/63,Html tabellare
AttiConcessioneL'Aquila,AttiConcessioneL'Aquila,L'Aquila,http://trasparenza.comune.laquila.gov.it/export_open_data_csv.php?id_criterio=127&id_oggetto=38&id_ente=42,http://trasparenza.comune.laquila.gov.it/pagina48_atti-di-concessione.html,Csv
AttiConcessioneLaSpezia,AttiConcessioneLaSpezia,La Spezia,http://portale.spezianet.it/Beneficiari/coatti02.aspx?bef_codice=1&SORT=AALFA&idSessione=gvjimgv0ysjl5455xd12hcn5&men_id=00.00.00,http://portale.spezianet.it/Beneficiari/coatti02.aspx?bef_codice=1&SORT=AALFA&idSessione=gvjimgv0ysjl5455xd12hcn5&men_id=00.00.00,Csv
AttiConcessioneLatina,AttiConcessioneLatina,Latina,http://comune.latina.it/download.php?id=14773,http://comune.latina.it/c-760/atti-di-concessione,Pdf vettoriale
AttiConcessioneLecce,AttiConcessioneLecce,Lecce,http://www.comune.lecce.it/comune/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,http://www.comune.lecce.it/comune/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,Csv
AttiConcessioneLecco,AttiConcessioneLecco,Lecco,https://sol.lc-card.it/urbi/progs/urp/ur1UR018.sto?DB_NAME=n200574,http://www.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/amministrazione_trasparente/_lombardia/_lecco/120_sov_con_sus_van/020_att_con/,Html tabellare
AttiConcessioneLivorno,AttiConcessioneLivorno,Livorno,http://www.comune.livorno.it/_livo/uploads/2014_07_31_08_53_08.pdf,http://www.comune.livorno.it/_livo/it/default/10119/Atti-di-concessione.html,Pdf vettoriale
AttiConcessioneLodi,AttiConcessioneLodi,Lodi,http://lodi.e-pal.it/L190/contributo/lista?format=csv&extension=csv&sort=&exportAllPages=N&idSezione=66,http://lodi.e-pal.it/L190/contributo/lista?sort=&idSezione=66,Csv
AttiConcessioneLucca,AttiConcessioneLucca,Lucca,http://www.comune.lucca.it/flex/cm/pages/ServeAttachment.php/L/IT/D/8%252Fc%252F3%252FD.f1c8cfb80ea1c28b30da/P/BLOB%3AID%3D11216,http://www.comune.lucca.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/11216,Pdf vettoriale
AttiConcessioneMacerata,AttiConcessioneMacerata,Macerata,http://www.comune.macerata.it/Engine/RAServeFile.php/f/Elenco_Beneficiari_ex_art.18.ods,http://www.comune.macerata.it/Engine/RAServePG.php/P/177081CMC0207,Ods
AttiConcessioneMantova,AttiConcessioneMantova,Mantova,http://80.88.164.37/webdelibere/Amministrazioneaperta.aspx,http://www.comune.mantova.gov.it/index.php/home/area-documentale/category/144-amministrazione-aperta,Csv
AttiConcessioneMassa,AttiConcessioneMassa,Massa,http://www.comune.massa.ms.it/sites/files/documenti_internet6/26_aprile_2013.pdf,http://www.comune.massa.ms.it/pagina/atti-di-concessione-dal-1%C2%B0-gennaio-al-31-dicembre-2013,Pdf vettoriale
AttiConcessioneMatera,AttiConcessioneMatera,Matera,http://www.comune.matera.it/images/SETTORE_SERVIZI_ATTI_DI_CONCESSIONE_2013.pdf,http://www.comune.matera.it/it/sovvenzionicontributi-sussidivantaggi-economici/atti-di-concessione,Xls
AttiConcessioneMessina,AttiConcessioneMessina,Messina,http://www.comune.messina.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/dipartimento-lavori-pubblici.aspx,http://www.comune.messina.it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione.aspx,Html tabellare
AttiConcessioneMilano,AttiConcessioneMilano,Milano,,http://www.comune.milano.it/portale/wps/portal/CDM?WCM_GLOBAL_CONTEXT=/wps/wcm/connect/contentlibrary/Elenco%2BSiti%2Btematici/Elenco%2BSiti%2Btematici/Amministrazione%2Baperta/Sovvenzioni%2Bcontributi%2Bsussidi%2Bvantaggi%2Beconomici/Atti%2Bdi%2Bconcessi,Csv
AttiConcessioneModena,AttiConcessioneModena,Modena,http://www.comune.modena.it/il-comune/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione/circoscrizioni/art18schedacirco,http://www.comune.modena.it/il-comune/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,Xls
AttiConcessioneMonza,AttiConcessioneMonza,Monza,http://web.comune.monza.it/AmministrazioneAperta/,http://www.comune.monza.it/portale/monzacomune/amministrazione_trasparente/sovvenzioni/index.html,Html tabellare
AttiConcessioneNapoli,AttiConcessioneNapoli,Napoli,http://www.comune.napoli.it/flex/cm/pages/ServeAttachment.php/L/IT/D/e%252F1%252F0%252FD.780454b8cbf6ec3f0ede/P/BLOB%3AID%3D23508,http://www.comune.napoli.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/20514,Xls
AttiConcessioneNovara,AttiConcessioneNovara,Novara,http://www.comune.novara.it/comune/trasparenza/amministrazioneTrasparente/sovvenzioni/atti.od.php,http://www.comune.novara.it/comune/trasparenza/amministrazioneTrasparente/sovvenzioni/atti.php,Csv
AttiConcessioneNoviLigure,AttiConcessioneNoviLigure,Novi Ligure,http://www.comunenoviligure.gov.it/servizi/pubblicazionispese/ricerca_fase02.aspx?fn=490&Campo_14369=0&Campo_14370=&CampoRicerca_14370=&Campo_14371=&Campo_14372=&Campo_14373=&Campo_14374=&AggiornaDB=Cerca&esporta=true,http://www.comunenoviligure.gov.it/servizi/pubblicazionispese/ricerca_fase02.aspx?fn=490&Campo_14369=0&Campo_14370=&CampoRicerca_14370=&Campo_14371=&Campo_14372=&Campo_14373=&Campo_14374=&AggiornaDB=Cerca,Xls
AttiConcessioneNuoro,AttiConcessioneNuoro,Nuoro,https://docs.google.com/spreadsheet/ccc?key=0Avm3tGHrvhIKdEQtV0dwVmRWS3NuR21qTDB6VUhYaEE&usp=sharing#gid=0,http://www.comune.nuoro.it/index.php/Sovvenzioni%2C_contributi%2C_sussidi%2C_vantaggi_economici,Html tabellare
AttiConcessioneOlbia,AttiConcessioneOlbia,Olbia,http://www.comuneolbia.amministrazioneaperta.it/tabella/exAmmAperta?file=csv,http://www.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/amministrazione_trasparente/_sardegna/_olbia/120_sov_con_sus_van/020_att_con/,Csv
AttiConcessioneOristano,AttiConcessioneOristano,Oristano,http://www.comune.oristano.it/.galleries/doc-amministrazione_trasparente/Sovvenzioni.csv,http://www.comune.oristano.it/it/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione/,Csv
AttiConcessionePadova,AttiConcessionePadova,Padova,https://serviziweb4.comune.padova.it/pentaho/content/reporting/reportviewer/report.html?solution=Trasparenza&path=%2FReport&name=rpt_concessioni_csv.prpt&userid=trasparenza&password=trasparenza&locale=it_IT,http://www.padovanet.it/lista.jsp?tasstipo=S&tassidpadre=2347&tassid=2451,Csv
AttiConcessionePalermo,AttiConcessionePalermo,Palermo,http://www.comune.palermo.it/amministrazione_trasparente.php?sel=12&asel=172,http://www.comune.palermo.it/amministrazione_trasparente.php?sel=12&asel=172,Html
AttiConcessioneParma,AttiConcessioneParma,Parma,http://www.comune.parma.it/comune/Handlers/TabellaExcel.ashx?Id=2f203ddb-91c9-4114-946f-8d2d0621d7f3&r=csv,http://www.comune.parma.it/comune/Amministrazione-Trasparente_Sovvenzioni-contributi--sussidi-vantaggi-economici/atti-di-concessione.aspx,Csv
AttiConcessionePavia,AttiConcessionePavia,Pavia,http://portale.comune.pv.it/Beneficiari/coatti02.aspx?bef_codice=1&SORT=AALFA&idSessione=igheryykeqnn3a45rmq1fv55&men_id=00.07.00,http://www.comune.pv.it/site/home/il-comune/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/articolo12057.html,Csv
AttiConcessionePerugia,AttiConcessionePerugia,Perugia,http://www.comune.perugia.it/cpg/beneficiarierogazioni/beneficiari.aspx?art=26,http://www.comune.perugia.it/cpg/beneficiarierogazioni/beneficiari.aspx?art=26,Xml
AttiConcessionePesaro,AttiConcessionePesaro,Pesaro,http://www.opendata.comune.pesaro.pu.it/ExportServlet?formato=CSV,http://www.comune.pesaro.pu.it/index.php?id=15031,Csv
AttiConcessionePescara,AttiConcessionePescara,Pescara,http://www.comune.pescara.it/UserFiles/utenti/File/trasparenza/2014/servizi_alla_persona_elenco_contributi_anno_2014.pdf,http://www.comune.pescara.it/internet/index.php?navBackPage=747&codice=58#atti_di_concessione,Pdf raster
AttiConcessionePiacenza,AttiConcessionePiacenza,Piacenza,http://hosting.soluzionipa.it/piacenza/benefici/csv.php,http://hosting.soluzionipa.it/piacenza/benefici/elenchi_csv.php,Csv
AttiConcessionePisa,AttiConcessionePisa,Pisa,http://www.ambiente.comune.pisa.it/documenti_servizi/kmz/bando-contrib-assoc-animaliste-agosto-2014.pdf,http://www.comune.pisa.it/it/progetto-scheda/8980/Atti-di-concessione.html,Pdf vettoriale
AttiConcessionePordenone,AttiConcessionePordenone,Pordenone,http://amministrazioneaperta.regione.fvg.it/AmministrazioneAperta-FE/public/elencoEnte.html?pEnte=093033,http://www.comune.pordenone.it/it/comune/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione,Csv
AttiConcessioneRavenna,AttiConcessioneRavenna,Ravenna,http://extraweb.comune.ra.it/trasparenza/beneficiari.asp?anno=2014,http://www.comune.ra.it/Amministrazione-Trasparente/Sovvenzioni-contributi-sussidi-vantaggi-economici/Atti-di-concessione,Html tabellare
AttiConcessioneReggioCalabria,AttiConcessioneReggioCalabria,Reggio Calabria,http://www.reggiocal.it/wcm/images/iconEditor/AlboBeneficiariComuneRC2013.csv,http://www.reggiocal.it/on-line/Home/AreeTematiche/AmministrazioneTrasparente/Sovvenzionicontributisussidivantaggieconomici/Attidiconcessione.html,Csv
AttiConcessioneReggionell'Emilia,AttiConcessioneReggionell'Emilia,Reggio nell'Emilia,http://www.municipio.re.it/retecivica/urp/retecivi.nsf/PESIdDoc/C53A68ABF4660F97C1257C3700368556/%24file/contributi.html,http://www.municipio.re.it/retecivica/urp/pes.nsf/web/ttdcncssn?opendocument,Html tabellare
AttiConcessioneRieti,AttiConcessioneRieti,Rieti,http://93.57.94.158:8080/dms/werwer/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione/2013/borse-lavoro-x-trasparenza/Borse%20lavoro.pdf,http://93.57.94.158:8080/home/amministrazione-trasparente/sovvenzioni-contributi-sussidi-vantaggi-economici/atti-di-concessione.html,Pdf vettoriale
AttiConcessioneRimini,AttiConcessioneRimini,Rimini,http://www.comune.rimini.it/binary/comune_rimini/elenco_beneficiari/LOCALI_E_IMPIANTI_totale_open_data.1406209464.csv,http://www.comune.rimini.it/servizi/amministrazione_trasparente/sovvenzioni_contributi/atti_concessione/albo_beneficiari/pagina1412.html,Csv
AttiConcessioneRoma,AttiConcessioneRoma,Roma,http://www.comune.roma.it/servizi2/art18net/jsp/common/Home.jsp,http://www.comune.roma.it/servizi2/art18net/jsp/common/Home.jsp,Html tabellare
AttiConcessioneRovigo,AttiConcessioneRovigo,Rovigo,http://www.comune.rovigo.it/portal/page/portal/PG_PORTALE_METROPOLITANO/AB_COMUNEASSET1/PG_BACHECA/Amministrazione%20trasparente/AmministrazioneAperta,http://www.comune.rovigo.it/portal/page/portal/PG_PORTALE_METROPOLITANO/AB_COMUNEASSET1/PG_BACHECA/Amministrazione%20trasparente/Sovvenzioni%20contributi%20sussidi%20vantaggi%20economici,Html tabellare
AttiConcessioneSanluri,AttiConcessioneSanluri,Sanluri,http://217.133.185.226/sanluri/Trasparenza/Impegni.aspx?AspxAutoDetectCookieSupport=1,http://www.comune.sanluri.vs.it/servizi/Menu/dinamica.aspx?idArea=20047&idCat=20072&ID=20234&TipoElemento=Categoria,Html tabellare
AttiConcessioneSassari,AttiConcessioneSassari,Sassari,http://www.comune.sassari.it/comune/amministrazione_trasparente/sovvenzioni_contributi/articolo_18_anno_2014.csv,http://www.comune.sassari.it/comune/amministrazione_trasparente/sovvenzioni_contributi/indice_sovvenzioni_contributi.htm,Csv
AttiConcessioneSavona,AttiConcessioneSavona,Savona,http://images.comune.savona.it//IT/f/Personale/Trasparenza/22/22264_COMUNESVML_6102014.xls,http://www.comune.savona.it/IT/Page/t02/view_html?idp=7003,Xls
AttiConcessioneSiena,AttiConcessioneSiena,Siena,http://archivio.comune.siena.it/contratti/contributipubblicati.asp,http://www.comune.siena.it/Il-Comune/Amministrazione-Trasparente/Sovvenzioni-contributi-sussidi-vantaggi-economici/Atti-di-concessione,Html tabellare
AttiConcessioneSiracusa,AttiConcessioneSiracusa,Siracusa,http://www.gazzettaamministrativa.it/opencms/export/sites/default/_gazzetta_amministrativa/amministrazione_trasparente/_sicilia/_siracusa/120_sov_con_sus_van/020_att_con/2014/0001_Documenti_1392207149851/1392207154384_patr._oneroso_banda_musicale_-_del._g,http://www.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/amministrazione_trasparente/_sicilia/_siracusa/120_sov_con_sus_van/020_att_con/,Pdf vettoriale
AttiConcessioneTaranto,AttiConcessioneTaranto,Taranto,http://www.gazzettaamministrativa.it/opencms/export/sites/default/_gazzetta_amministrativa/amministrazione_trasparente/_puglia/_taranto/120_sov_con_sus_van/020_att_con/2014/Documenti_1408441755836/1408441757378_primo_semestre_2014.xls,http://www.gazzettaamministrativa.it/opencms/opencms/_gazzetta_amministrativa/amministrazione_trasparente/_puglia/_taranto/120_sov_con_sus_van/020_att_con/,Xls
AttiConcessioneTempioPausania,AttiConcessioneTempioPausania,Tempio Pausania,http://www.comune.tempiopausania.ot.it/cmstempio/portale/gente77/consultaamministrazioneaperta.aspx,http://www.comune.tempiopausania.ot.it/attachments/article/2192/ALBO%20BENEFICIARI%20PROVVIDENZE%202013.pdf,Csv
AttiConcessioneTeramo,AttiConcessioneTeramo,Teramo,http://31.198.16.84:8010/EXEC,http://www.comune.teramo.it/index.php?id=190,Html tabellare
AttiConcessioneTerni,AttiConcessioneTerni,Terni,http://in.comune.terni.it/trasparenza/index.asp,http://www.comune.terni.it/trasp/at/content/atti-di-concessione,Html tabellare
AttiConcessioneTorino,AttiConcessioneTorino,Torino,http://www.comune.torino.it/affidamenti/,http://www.comune.torino.it/amministrazionetrasparente/economici/atti-concessione/index.shtml,Csv
AttiConcessioneTortolì,AttiConcessioneTortolì,Tortolì,http://www.comuneditortoli.it/portale_comune/public/allegati_contenuti/225440953_albo_contributi_anno_2013.pdf,http://www.comuneditortoli.it/portale_comune/portale/dettagli_contenuto.asp?id_contenuto=447,Pdf vettoriale
AttiConcessioneTrani,AttiConcessioneTrani,Trani,http://www.comune.trani.bt.it/userfiles/files/AmmTrasparente/Sovvenzioni/Sovvenzioni.ods,http://www.comune.trani.bt.it/AmministrazioneTrasparente/Dataview.aspx?id=417,Ods
AttiConcessioneTrapani,AttiConcessioneTrapani,Trapani,http://www.comune.trapani.it/amministrazioneaperta/Art_18.xls,http://www.comune.trapani.it/web/index.php/component/content/article/122-amministrazione-trasparente/1463-atti-di-concessione,Xls
AttiConcessioneTrento,AttiConcessioneTrento,Trento,http://www.comune.trento.it/Comune/Organizzazione-comunale/Amministrazione-trasparente/Sovvenzioni-contributi-sussidi-vantaggi-economici/Atti-di-concessione/Atti-di-concessione,http://www.comune.trento.it/Comune/Organizzazione-comunale/Amministrazione-trasparente/Sovvenzioni-contributi-sussidi-vantaggi-economici/Atti-di-concessione/Atti-di-concessione,Html tabellare
AttiConcessioneTreviso,AttiConcessioneTreviso,Treviso,http://www.comune.treviso.it/pdf/Atti-di-concessione-contributi-20130529.pdf,http://www.comune.treviso.it/index.php?view=article&catid=221%3Asovvenzionicontributisussidivantaggi-economici&id=8081%3Aatti-di-concessione&option=com_content&Itemid=904,Pdf vettoriale
AttiConcessioneTrieste,AttiConcessioneTrieste,Trieste,http://www.retecivica.trieste.it/new/default.asp?tabella_padre=sezioni&ids=89&tipo=blocchi_sezioni_89&pagina=-,http://www.retecivica.trieste.it/new/default.asp?tabella_padre=sezioni&ids=89&tipo=blocchi_sezioni_89&pagina=-,Html
AttiConcessioneUdine,AttiConcessioneUdine,Udine,http://amministrazioneaperta.regione.fvg.it/AmministrazioneAperta-FE/public/ricercaEnte.html?pEnte=030129,http://www.comune.udine.it/opencms/opencms/release/ComuneUdine/comune/Nuovo_progetto_trasparenza/sovvenzioni_sussidi_vantaggi_economici/Atti_concessione.html?style=1,Csv
AttiConcessioneUrbino,AttiConcessioneUrbino,Urbino,http://comuneurbino.amministrazioneaperta.it/tabella/exAmmAperta?file=csv,http://comuneurbino.amministrazioneaperta.it/tabella,Csv
AttiConcessioneVarese,AttiConcessioneVarese,Varese,http://www.comune.varese.it/si4web/common/AmvDownload.jsp?ID_BLOB=97373&saveAS=CONTRIBUTI%2C_SUSSIDI%2C_AUSILI_E_VANTAGGI_ECONOMICI_%2030%209%202014.pdf&mimetype=application/pdf,http://www.comune.varese.it/si4web/common/AmvDocumentoInfo.do?MVVC=amvdocui&ID=7523&REV=28&MVPD=0&MVTD=1&MVSZ=420,Pdf vettoriale
AttiConcessioneVenezia,AttiConcessioneVenezia,Venezia,http://www.comune.venezia.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/71947,https://trasparenza.nexacenter.org/w/index.php/AttiConcessioneVenezia,Pdf vettoriale
AttiConcessioneVerbania,AttiConcessioneVerbania,Verbania,http://comunevercelli.amministrazioneaperta.it/tabella,,Csv
